pm\mA;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1
45.9;239.5;216.29;193.08;169.87;146.66;123.44;100.23;77.02;53.81;30.6
46.9;244.1;220.8;197.5;174.2;150.9;127.6;104.3;81;57.7;34.4
47.9;261.85;236.49;211.14;185.78;160.43;135.07;109.72;84.36;59.01;33.65
48.8;270.4;244.24;218.09;191.93;165.78;139.62;113.47;87.31;61.16;35
49.8;273.35;246.85;220.35;193.85;167.35;140.85;114.35;87.85;61.35;34.85
50.8;273.25;246.58;219.91;193.23;166.56;139.89;113.22;86.54;59.87;33.2
51.7;258.85;233.58;208.32;183.05;157.78;132.52;107.25;81.98;56.72;31.45
52.7;262;236.64;211.29;185.93;160.58;135.22;109.87;84.51;59.16;33.8
53.7;257.4;232.81;208.22;183.63;159.04;134.46;109.87;85.28;60.69;36.1
54.6;253.4;228.81;204.21;179.62;155.02;130.43;105.83;81.24;56.64;32.05
55.6;249.65;225.63;201.61;177.58;153.56;129.54;105.52;81.49;57.47;33.45
56.6;252.1;227.95;203.8;179.65;155.5;131.35;107.2;83.05;58.9;34.75
57.5;243.6;220.08;196.56;173.03;149.51;125.99;102.47;78.94;55.42;31.9
58.5;235.1;212.24;189.38;166.52;143.66;120.79;97.93;75.07;52.21;29.35
59.5;223.45;201.84;180.23;158.62;137.01;115.39;93.78;72.17;50.56;28.95
60.4;223.95;202.36;180.76;159.17;137.57;115.98;94.38;72.79;51.19;29.6
61.4;214.45;194.07;173.69;153.32;132.94;112.56;92.18;71.81;51.43;31.05
62.4;238.75;215.88;193.02;170.15;147.28;124.42;101.55;78.68;55.82;32.95
63.3;276.4;249.91;223.42;196.93;170.44;143.96;117.47;90.98;64.49;38
64.3;347.1;313.53;279.96;246.38;212.81;179.24;145.67;112.09;78.52;44.95
65.3;450.75;407.63;364.52;321.4;278.28;235.17;192.05;148.93;105.82;62.7
66.2;477.9;432.61;387.31;342.02;296.72;251.43;206.13;160.84;115.54;70.25
67.2;209;188.85;168.7;148.55;128.4;108.25;88.1;67.95;47.8;27.65
68.2;207.65;187.53;167.42;147.3;127.18;107.07;86.95;66.83;46.72;26.6
69.1;235.25;212.53;189.82;167.1;144.38;121.67;98.95;76.23;53.52;30.8
70.1;300;270.99;241.98;212.97;183.96;154.94;125.93;96.92;67.91;38.9
71.1;446.7;403.8;360.9;318;275.1;232.2;189.3;146.4;103.5;60.6
